TRAFFIC SIGNAL INVENTORY NO,OWNER,PRIMARY STREET NAME,SECONDARY STREET NAME,LATITUDE,LONGITUDE,GeoLocation
S-008,STATE,LA 19,LAVEY LN / S MAGNOLIA AVE,30.57529,-91.1706,"(30.57529, -91.1706)"
S-007,STATE,LA 19,RAY WEILAND DR / TRUMAN ST,30.58594,-91.16859,"(30.58594, -91.16859)"
S-006,STATE,LA 19,GROOM RD,30.58829,-91.16814,"(30.58829, -91.16814)"
S-196,STATE,LA 19,BAKER BLVD,30.59447,-91.16694,"(30.59447, -91.16694)"
S-200,STATE,LA 19,NEW WEIS RD,30.64123,-91.15364,"(30.64123, -91.15364)"
S-004,STATE,LA 19,MAIN ST,30.64783,-91.15047,"(30.64783, -91.15047)"
S-329,STATE,LA 19,CHURCH ST,30.64936,-91.15024,"(30.64936, -91.15024)"
S-298,STATE,LA 19,PORT HUDSON-PRIDE RD,30.68381,-91.14893,"(30.68381, -91.14893)"
S-189,STATE,SAMUELS RD,MT PLEASANT-ZACHARY RD,30.64684,-91.24777,"(30.64684, -91.24777)"
S-230,STATE,OLD SCENIC HWY,MT PLEASANT-ZACHARY RD / CHURCH ST,30.65469,-91.19332,"(30.65469, -91.19332)"
S-362,STATE,HIGH ST,ROLLINS RD / OLD BAKER RD,30.64987,-91.15895,"(30.64987, -91.15895)"
S-197,STATE,MAIN ST,LEE ST,30.64831,-91.15485,"(30.64831, -91.15485)"
S-318,STATE,MAIN ST,WAL-MART,30.64872,-91.14267,"(30.64872, -91.14267)"
S-358,STATE,MAIN ST,HOME DEPOT,30.64962,-91.1335,"(30.64962, -91.1335)"
SU-1,SOUTHERN,SWAN AVE,ISABEL HERSON DR,30.52358,-91.18625,"(30.52358, -91.18625)"
S-213,STATE,GREENWELL SPRINGS RD,FRENCHTOWN RD,30.50827,-91.03246,"(30.50827, -91.03246)"
C-257,CITY,W LAKESHORE DR,E PARKER BLVD,30.40783,-91.17087,"(30.40783, -91.17087)"
S-323,STATE,PERKINS RD,BALIS ST / STUART AVE,30.41803,-91.14679,"(30.41803, -91.14679)"
S-326,STATE,JEFFERSON HWY,WRENWOOD BLVD / OFFICE PARK BLVD,30.422,-91.10156,"(30.422, -91.10156)"
S-327,STATE,COLLEGE DR,I-10 / CONSTITUTION AVE,30.42232,-91.13964,"(30.42232, -91.13964)"
S-330,STATE,ESSEN LN,ESSEN PARK AVE,30.40548,-91.10293,"(30.40548, -91.10293)"
S-331,STATE,PERKINS RD,OAKDALE DR,30.37206,-91.08617,"(30.37206, -91.08617)"
S-332,STATE,PERKINS RD,GREAT OAKS DR / WIMBLEDON AVE,30.37455,-91.08996,"(30.37455, -91.08996)"
S-333,STATE,FLORIDA BLVD,CENTERWAY BLVD,30.45348,-91.09183,"(30.45348, -91.09183)"
S-334,STATE,JEFFERSON HWY,BLUEBONNET BLVD,30.41123,-91.07844,"(30.41123, -91.07844)"
S-335,STATE,PERKINS RD,VALLEY ST,30.41916,-91.14878,"(30.41916, -91.14878)"
S-338,STATE,O'NEAL LN,BRISTOE AVE,30.43568,-91.00754,"(30.43568, -91.00754)"
S-340,STATE,PERKINS RD,WINDERMERE BLVD / YMCA PLAZA DR,30.36944,-91.07818,"(30.36944, -91.07818)"
S-341,STATE,BLUEBONNET BLVD,MALL DRIVE 1,30.39326,-91.08832,"(30.39326, -91.08832)"
S-342,STATE,BLUEBONNET BLVD,PICARDY AVE / MALL OF LOUISIANA BLVD,30.39165,-91.091,"(30.39165, -91.091)"
S-343,STATE,BLUEBONNET BLVD,MALL DRIVE 3,30.38926,-91.09242,"(30.38926, -91.09242)"
S-344,STATE,BLUEBONNET BLVD,ANSELMO LN,30.38723,-91.0938,"(30.38723, -91.0938)"
S-346,STATE,BLUEBONNET BLVD,HIGHLAND RD,30.36064,-91.10666,"(30.36064, -91.10666)"
S-347,STATE,BLUEBONNET BLVD,N OAK HILLS PKWY,30.36958,-91.10265,"(30.36958, -91.10265)"
S-349,STATE,ESSEN LN,UNITED PLAZA BLVD,30.41297,-91.09954,"(30.41297, -91.09954)"
S-350,STATE,SULLIVAN RD,HUNTLEY AVE,30.54709,-91.02956,"(30.54709, -91.02956)"
S-351,STATE,RIVER RD,STATE CAPITOL DR,30.45616,-91.18994,"(30.45616, -91.18994)"
S-353,STATE,NICHOLSON DR,BLUEBONNET BLVD,30.33604,-91.13557,"(30.33604, -91.13557)"
S-354,STATE,FLORIDA ST,RIVER RD,30.44926,-91.1904,"(30.44926, -91.1904)"
S-355,STATE,RIVER RD,LAUREL ST,30.45032,-91.19045,"(30.45032, -91.19045)"
S-357,STATE,HARDING BLVD,HOWELL BLVD,30.52137,-91.15674,"(30.52137, -91.15674)"
S-359,STATE,BLUEBONNET BLVD,PARK ROWE,30.3799,-91.09737,"(30.3799, -91.09737)"
S-361,STATE,ESSEN LN,ARCHIVES AVE,30.41449,-91.09885,"(30.41449, -91.09885)"
S-363,STATE,HARDING BLVD,ATM-EOC,30.52151,-91.15272,"(30.52151, -91.15272)"
S-365,STATE,JEFFERSON HWY,TOWNE CENTER BLVD,30.43395,-91.11528,"(30.43395, -91.11528)"
S-366,STATE,OLD HAMMOND HWY,N HARRELL'S FERRY RD,30.43493,-91.0646,"(30.43493, -91.0646)"
S-360,STATE,CHURCH ST,NEWELL ST,30.65301,-91.17913,"(30.65301, -91.17913)"
C-115,CITY,NORTH BLVD,N 4TH ST/SAINT FERDINAND ST,30.44709,-91.18683,"(30.44709, -91.18683)"
C-121,CITY,NORTH BLVD,SAINT LOUIS ST,30.44706,-91.18765,"(30.44706, -91.18765)"
S-382,STATE,JEFFERSON HWY,ANTIOCH RD,30.36987,-91.01054,"(30.36987, -91.01054)"
S-379,STATE,BURBANK DR,BEN HUR RD,30.38804,-91.15727,"(30.38804, -91.15727)"
SU-2,SOUTHERN,B.A. LITTLE DR,ISABEL HERSON DR,30.52676,-91.19125,"(30.52676, -91.19125)"
S-328,STATE,AIRLINE HWY,HOME DEPOT,30.46234,-91.10261,"(30.46234, -91.10261)"
S-109,STATE,PLANK RD,SUMRALL DR,30.51294,-91.1484,"(30.51294, -91.1484)"
S-112,STATE,SCENIC HWY,SCOTLAND AVE,30.52358,-91.18087,"(30.52358, -91.18087)"
S-113,STATE,NORTH ST,9TH ST,30.4527,-91.18111,"(30.4527, -91.18111)"
S-114,STATE,AIRLINE HWY,FOSTER DR,30.5087,-91.14143,"(30.5087, -91.14143)"
S-116,STATE,SCENIC HWY,WINBOURNE AVE,30.47778,-91.1686,"(30.47778, -91.1686)"
S-117,STATE,SCENIC HWY,MOHICAN ST,30.48446,-91.16901,"(30.48446, -91.16901)"
S-119,STATE,CAPITOL ACCESS RD,W HIGHWAY DR,30.45817,-91.17848,"(30.45817, -91.17848)"
S-121A,STATE,NORTH BLVD,9TH ST,30.44728,-91.18052,"(30.44728, -91.18052)"
S-123,STATE,JEFFERSON HWY,COLLEGE DR,30.43897,-91.12714,"(30.43897, -91.12714)"
S-124,STATE,FLORIDA ST,LAFAYETTE ST,30.44925,-91.18944,"(30.44925, -91.18944)"
S-125,STATE,SCENIC HWY,HARDING BLVD,30.52049,-91.17911,"(30.52049, -91.17911)"
S-126,STATE,CHIPPEWA ST,SORREL AVE,30.47269,-91.18109,"(30.47269, -91.18109)"
S-127,STATE,SCENIC HWY,CHIPPEWA ST,30.47309,-91.16836,"(30.47309, -91.16836)"
S-128,STATE,AIRLINE HWY,CHOCTAW DR,30.47106,-91.10878,"(30.47106, -91.10878)"
S-129,STATE,AIRLINE HWY,TOM DR,30.46631,-91.10544,"(30.46631, -91.10544)"
S-130,STATE,AIRLINE HWY,OLD HAMMOND HWY,30.43163,-91.08071,"(30.43163, -91.08071)"
S-131,STATE,AIRLINE HWY,GOODWOOD BLVD,30.44319,-91.08895,"(30.44319, -91.08895)"
S-133,STATE,SPANISH TOWN RD,9TH ST,30.4548,-91.18114,"(30.4548, -91.18114)"
S-134,STATE,MAIN ST,9TH ST,30.45165,-91.18099,"(30.45165, -91.18099)"
S-135,STATE,MAIN ST,10TH ST,30.45167,-91.17987,"(30.45167, -91.17987)"
S-137,STATE,NORTH ST,10TH ST,30.45273,-91.18018,"(30.45273, -91.18018)"
S-138,STATE,FLORIDA ST,3RD ST,30.44931,-91.18826,"(30.44931, -91.18826)"
S-139,STATE,FLORIDA ST,4TH ST,30.44932,-91.18704,"(30.44932, -91.18704)"
S-140,STATE,FLORIDA ST,5TH ST,30.44936,-91.18584,"(30.44936, -91.18584)"
S-141,STATE,FLORIDA ST,6TH ST,30.44938,-91.18466,"(30.44938, -91.18466)"
S-184,STATE,HARDING BLVD,ELTON HARRISON DR,30.52016,-91.19206,"(30.52016, -91.19206)"
S-185,STATE,LA 19,BLOUNT RD,30.54343,-91.1767,"(30.54343, -91.1767)"
S-186,STATE,FLORIDA BLVD,FLANNERY RD,30.46241,-91.03528,"(30.46241, -91.03528)"
S-187,STATE,FLORIDA BLVD,OAK VILLA BLVD,30.45429,-91.08717,"(30.45429, -91.08717)"
S-188,STATE,AIRLINE HWY,FLORLINE BLVD,30.45744,-91.09911,"(30.45744, -91.09911)"
S-190,STATE,FLORIDA BLVD,LITTLE JOHN DR,30.45987,-91.05128,"(30.45987, -91.05128)"
S-193,STATE,HARDING BLVD,I-110 / VETERAN'S MEMORIAL BLVD,30.52128,-91.1609,"(30.52128, -91.1609)"
S-194,STATE,SCENIC HWY,MILLS AVE,30.53295,-91.18648,"(30.53295, -91.18648)"
S-195,STATE,PERKINS RD,KENILWORTH PKWY,30.39969,-91.11663,"(30.39969, -91.11663)"
S-199,STATE,PLANK RD,72ND AVE / MONARCH AVE,30.51542,-91.14756,"(30.51542, -91.14756)"
S-202,STATE,PLANK RD,I-110,30.46278,-91.1661,"(30.46278, -91.1661)"
S-203,STATE,ESSEN LN,I-10,30.40836,-91.10168,"(30.40836, -91.10168)"
S-204,STATE,HIGHLAND RD,GARDERE LN,30.36615,-91.11938,"(30.36615, -91.11938)"
S-206,STATE,FLORIDA BLVD,DONMOOR AVE,30.45149,-91.11839,"(30.45149, -91.11839)"
S-208,STATE,GREENWELL SPRINGS RD,JOYCE DR,30.48187,-91.09615,"(30.48187, -91.09615)"
S-209,STATE,OLD HAMMOND HWY,FLANNERY RD,30.44551,-91.03423,"(30.44551, -91.03423)"
S-210,STATE,OLD HAMMOND HWY,FAIRWAY DR / TARA BLVD,30.43096,-91.09133,"(30.43096, -91.09133)"
S-211,STATE,ESSEN LN,HENNESSY BLVD / SUMMA AVE,30.40175,-91.10544,"(30.40175, -91.10544)"
S-212,STATE,NICHOLSON DR,BRIGHTSIDE DR / LEE DR,30.3883,-91.17179,"(30.3883, -91.17179)"
S-215,STATE,GREENWELL SPRINGS RD,SHERWOOD FOREST BLVD,30.49373,-91.06073,"(30.49373, -91.06073)"
S-216,STATE,FLORIDA BLVD,STEVENDALE RD,30.46749,-91.00301,"(30.46749, -91.00301)"
S-217,STATE,AIRLINE HWY,DAWNADELE AVE,30.41923,-91.07183,"(30.41923, -91.07183)"
S-219,STATE,NICHOLSON DR,TERRACE ST,30.43628,-91.18724,"(30.43628, -91.18724)"
S-220,STATE,SHERWOOD FOREST BLVD,S HARRELL'S FERRY RD / MEAD RD,30.42853,-91.05606,"(30.42853, -91.05606)"
S-222,STATE,LA 19,I-110,30.53561,-91.17827,"(30.53561, -91.17827)"
S-223,STATE,PERKINS RD,BLUEBONNET BLVD,30.37919,-91.09789,"(30.37919, -91.09789)"
S-224,STATE,GREENWELL SPRINGS RD,LANIER DR,30.47793,-91.10891,"(30.47793, -91.10891)"
S-225,STATE,AIRLINE HWY,INTERLINE AVE,30.4278,-91.07792,"(30.4278, -91.07792)"
S-227,STATE,SULLIVAN RD,WAX RD,30.54313,-91.02877,"(30.54313, -91.02877)"
S-228,STATE,NICHOLSON DR,ROOSEVELT ST,30.42158,-91.18754,"(30.42158, -91.18754)"
S-229,STATE,FLORIDA BLVD,MC GEHEE DR / GREEN OAK DR,30.45788,-91.06453,"(30.45788, -91.06453)"
S-231,STATE,BURBANK DR,LEE DR,30.39159,-91.16202,"(30.39159, -91.16202)"
S-232,STATE,ACADIAN THWY,HUNDRED OAKS AVE,30.4323,-91.15256,"(30.4323, -91.15256)"
S-233,STATE,ACADIAN THWY,BROUSSARD ST,30.43606,-91.1527,"(30.43606, -91.1527)"
S-234,STATE,ACADIAN THWY,CLAYCUT RD,30.43996,-91.15251,"(30.43996, -91.15251)"
S-235,STATE,JEFFERSON HWY,BLUEBONNET RD,30.41216,-91.08035,"(30.41216, -91.08035)"
S-236,STATE,JEFFERSON HWY,STUMBERG LN,30.39369,-91.03919,"(30.39369, -91.03919)"
S-237,STATE,BURBANK DR,GARDERE LN,30.36024,-91.12401,"(30.36024, -91.12401)"
S-239,STATE,NICHOLSON DR,GARDERE LN,30.346,-91.14043,"(30.346, -91.14043)"
S-243,STATE,GARDERE LN,INNOVATION PARK DR / GSRI AVE,30.35554,-91.12706,"(30.35554, -91.12706)"
S-244,STATE,OLD HAMMOND HWY,MILLERVILLE RD,30.45163,-91.02461,"(30.45163, -91.02461)"
S-245,STATE,FLORIDA BLVD,MONTERREY BLVD,30.45468,-91.08453,"(30.45468, -91.08453)"
S-247,STATE,MILLERVILLE RD,I-12,30.43814,-91.02429,"(30.43814, -91.02429)"
S-248,STATE,AIRLINE HWY,COURSEY BLVD / BLUEBONNET BLVD,30.41644,-91.06983,"(30.41644, -91.06983)"
S-249,STATE,AIRLINE HWY,VINE ST / CONNELL'S VILLAGE LN,30.44764,-91.09212,"(30.44764, -91.09212)"
S-250,STATE,FLORIDA BLVD,MARILYN DR,30.45579,-91.07693,"(30.45579, -91.07693)"
S-251,STATE,AIRLINE HWY,INDUSTRIPLEX BLVD / PECUE LN,30.38507,-91.04183,"(30.38507, -91.04183)"
S-252,STATE,ESSEN LN,PICARDY AVE,30.39854,-91.10743,"(30.39854, -91.10743)"
S-253,STATE,SOUTH BLVD,SAINT PHILLIP ST,30.43967,-91.18833,"(30.43967, -91.18833)"
S-254,STATE,O'NEAL LN,I-12,30.4424,-91.00751,"(30.4424, -91.00751)"
S-255,STATE,OLD HAMMOND HWY,DRUSILLA LN,30.43104,-91.08398,"(30.43104, -91.08398)"
S-256,STATE,BLUEBONNET BLVD,I-10,30.39512,-91.08578,"(30.39512, -91.08578)"
S-257,STATE,SIEGEN LN,I-10,30.3823,-91.06604,"(30.3823, -91.06604)"
S-259,STATE,HIGHLAND RD,SIEGEN LN / BURBANK DR,30.35078,-91.08338,"(30.35078, -91.08338)"
S-260,STATE,GOVERNMENT ST,COMMUNITY COLLEGE DR,30.44458,-91.13577,"(30.44458, -91.13577)"
S-262,STATE,FLORIDA BLVD,CLOUD DR,30.45103,-91.13219,"(30.45103, -91.13219)"
S-267,STATE,BURBANK DR,E BOYD DR,30.40076,-91.1752,"(30.40076, -91.1752)"
S-268,STATE,GREENWELL SPRINGS RD,PLATT DR,30.48863,-91.0762,"(30.48863, -91.0762)"
S-270,STATE,PERKINS RD,POLLARD PKWY,30.41105,-91.13226,"(30.41105, -91.13226)"
C-190,CITY,SANTA MARIA PKWY,GOLF COURSE,30.33989,-91.01004,"(30.33989, -91.01004)"
C-191,CITY,TIGER BEND RD,ANTIOCH RD,30.38957,-91.00733,"(30.38957, -91.00733)"
C-192,CITY,MONTERREY DR,MAMMOTH AVE,30.47392,-91.08377,"(30.47392, -91.08377)"
S-151,STATE,CONVENTION ST,9TH ST,30.44846,-91.18098,"(30.44846, -91.18098)"
S-152,STATE,NICHOLSON DR,SOUTH BLVD,30.43963,-91.18736,"(30.43963, -91.18736)"
S-154,STATE,WASHINGTON ST,I-10,30.43127,-91.1745,"(30.43127, -91.1745)"
S-155,STATE,NICHOLSON DR,S STADIUM RD / SKIP BERTMAN DR,30.41119,-91.1864,"(30.41119, -91.1864)"
S-156,STATE,NICHOLSON DR,MC KINLEY ST,30.42359,-91.18757,"(30.42359, -91.18757)"
S-157,STATE,DALRYMPLE DR,I-10,30.42685,-91.16867,"(30.42685, -91.16867)"
S-158,STATE,DALRYMPLE DR,I-10 / LAKESHORE DR,30.42916,-91.1688,"(30.42916, -91.1688)"
S-159,STATE,PERKINS RD,I-10,30.42243,-91.15551,"(30.42243, -91.15551)"
S-160,STATE,JEFFERSON HWY,MC CARROLL DR,30.42821,-91.1074,"(30.42821, -91.1074)"
S-161,STATE,JEFFERSON HWY,ESSEN LN,30.41936,-91.09661,"(30.41936, -91.09661)"
S-162,STATE,JEFFERSON HWY,DRUSILLA LN,30.41718,-91.08987,"(30.41718, -91.08987)"
S-163,STATE,FLORIDA BLVD,WOODDALE BLVD,30.45196,-91.10409,"(30.45196, -91.10409)"
S-164,STATE,FLORIDA BLVD,ARDENWOOD AVE,30.45119,-91.12742,"(30.45119, -91.12742)"
S-165,STATE,FLORIDA BLVD,FOSTER DR,30.45079,-91.13901,"(30.45079, -91.13901)"
S-166,STATE,FLORIDA ST,EUGENE ST,30.45011,-91.16092,"(30.45011, -91.16092)"
S-167,STATE,FLORIDA ST,22ND ST,30.44995,-91.16592,"(30.44995, -91.16592)"
S-168,STATE,FLORIDA ST,19TH ST,30.44986,-91.1693,"(30.44986, -91.1693)"
S-170,STATE,ESSEN LN,I-12,30.41553,-91.0984,"(30.41553, -91.0984)"
S-172,STATE,AIRLINE HWY,CEDARCREST AVE,30.41385,-91.06766,"(30.41385, -91.06766)"
S-174,STATE,NICHOLSON DR,JENNIFER JEAN DR / BOB PETTIT BLVD,30.39668,-91.17798,"(30.39668, -91.17798)"
S-175,STATE,AIRLINE HWY,PRESCOTT RD,30.48839,-91.12126,"(30.48839, -91.12126)"
S-176,STATE,NICHOLSON DR,NICHOLSON DR EXT,30.40833,-91.18601,"(30.40833, -91.18601)"
S-177,STATE,SCENIC HWY,BLOUNT RD,30.54056,-91.19092,"(30.54056, -91.19092)"
S-178,STATE,SCENIC HWY,CHOCTAW DR,30.46985,-91.16815,"(30.46985, -91.16815)"
S-180,STATE,SCENIC HWY,FOSS ST,30.45994,-91.16759,"(30.45994, -91.16759)"
S-072,STATE,GOVERNMENT ST,EDISON ST,30.44433,-91.14704,"(30.44433, -91.14704)"
S-073,STATE,GOVERNMENT ST,FOSTER DR,30.44453,-91.13855,"(30.44453, -91.13855)"
S-074,STATE,GOVERNMENT ST,JEFFERSON HWY,30.44463,-91.13062,"(30.44463, -91.13062)"
S-075,STATE,JEFFERSON HWY,CLAYCUT RD / GOODWOOD AVE,30.4416,-91.13009,"(30.4416, -91.13009)"
S-076,STATE,JEFFERSON HWY,LOBDELL AVE,30.43304,-91.1107,"(30.43304, -91.1107)"
S-077,STATE,JEFFERSON HWY,CORPORATE BLVD / OLD HAMMOND HWY,30.43075,-91.10915,"(30.43075, -91.10915)"
