TRAFFIC SIGNAL INVENTORY NO,OWNER,PRIMARY STREET NAME,SECONDARY STREET NAME,LATITUDE,LONGITUDE,GeoLocation
S-078,STATE,PERKINS RD,ACADIAN THWY / STANFORD AVE,30.42107,-91.15286,"(30.42107, -91.15286)"
S-079,STATE,PERKINS RD,COLLEGE DR / LEE DR,30.41649,-91.14331,"(30.41649, -91.14331)"
S-080,STATE,ESSEN LN / STARING LN,PERKINS RD,30.39505,-91.10963,"(30.39505, -91.10963)"
S-081,STATE,PERKINS RD,SIEGEN LN,30.36822,-91.07446,"(30.36822, -91.07446)"
S-082,STATE,FLORIDA ST,9TH ST,30.44951,-91.18104,"(30.44951, -91.18104)"
S-083,STATE,FLORIDA ST,10TH ST,30.44956,-91.17983,"(30.44956, -91.17983)"
S-084,STATE,ACADIAN THWY,FLORIDA BLVD,30.45034,-91.1547,"(30.45034, -91.1547)"
S-086,STATE,FLORIDA ST,PEACHTREE BLVD,30.45039,-91.1524,"(30.45039, -91.1524)"
S-087,STATE,FLORIDA BLVD,TOUCHDOWN PLAZA,30.45163,-91.11395,"(30.45163, -91.11395)"
S-088,STATE,FLORIDA BLVD,LOBDELL BLVD,30.45172,-91.11209,"(30.45172, -91.11209)"
S-089,STATE,FLORIDA BLVD,CORA AVE,30.45514,-91.08136,"(30.45514, -91.08136)"
S-090,STATE,FLORIDA BLVD,SHARP RD,30.4566,-91.07212,"(30.4566, -91.07212)"
S-091,STATE,FLORIDA BLVD,SHERWOOD FOREST BLVD,30.45885,-91.05814,"(30.45885, -91.05814)"
S-092,STATE,NORTH BLVD,22ND ST,30.44785,-91.16591,"(30.44785, -91.16591)"
S-093,STATE,MAIN ST,22ND ST,30.45206,-91.16601,"(30.45206, -91.16601)"
S-094,STATE,NORTH ST,22ND ST,30.45315,-91.16605,"(30.45315, -91.16605)"
S-095,STATE,FUQUA ST,22ND ST,30.45739,-91.16615,"(30.45739, -91.16615)"
S-096,STATE,PLANK RD,FAIRFIELDS AVE / PAWNEE ST,30.46666,-91.16469,"(30.46666, -91.16469)"
S-097,STATE,PLANK RD,CHOCTAW DR,30.46993,-91.16354,"(30.46993, -91.16354)"
S-098,STATE,PLANK RD,CHIPPEWA ST,30.47331,-91.16238,"(30.47331, -91.16238)"
S-099,STATE,PLANK RD,WINBOURNE AVE,30.47824,-91.1606,"(30.47824, -91.1606)"
S-100,STATE,PLANK RD,MOHICAN ST,30.48485,-91.15829,"(30.48485, -91.15829)"
S-103,STATE,PLANK RD,EVANGELINE ST,30.49268,-91.15553,"(30.49268, -91.15553)"
S-104,STATE,PLANK RD,LORRAINE ST,30.49666,-91.15412,"(30.49666, -91.15412)"
S-105,STATE,PLANK RD,SAINT GERARD AVE,30.49731,-91.15389,"(30.49731, -91.15389)"
S-106,STATE,PLANK RD,HOLLYWOOD ST,30.49947,-91.15316,"(30.49947, -91.15316)"
S-107,STATE,PLANK RD,JH COONEY DR,30.50351,-91.15171,"(30.50351, -91.15171)"
S-108,STATE,PLANK RD,DAWSON DR / MASON AVE,30.50682,-91.15059,"(30.50682, -91.15059)"
C-102,CITY,LOBDELL BLVD,HARRY DR,30.45771,-91.11278,"(30.45771, -91.11278)"
C-103,CITY,LOBDELL BLVD,TOM DR,30.46228,-91.11614,"(30.46228, -91.11614)"
C-104,CITY,MAIN ST,4TH ST,30.45145,-91.18713,"(30.45145, -91.18713)"
C-105,CITY,MAIN ST,5TH ST,30.45149,-91.18594,"(30.45149, -91.18594)"
C-106,CITY,MAIN ST,6TH ST,30.45151,-91.18473,"(30.45151, -91.18473)"
C-107,CITY,MAIN ST,7TH ST,30.45157,-91.18354,"(30.45157, -91.18354)"
C-108,CITY,MAIN ST,19TH ST,30.45195,-91.16939,"(30.45195, -91.16939)"
C-110,CITY,MAIN ST,LAFAYETTE ST,30.45141,-91.18951,"(30.45141, -91.18951)"
C-111,CITY,MAIN ST,3RD ST,30.45143,-91.18835,"(30.45143, -91.18835)"
C-113,CITY,MICKENS RD,SILVERLEAF AVE,30.51894,-91.12186,"(30.51894, -91.12186)"
C-114,CITY,MONTERREY DR,GREAT SMOKY AVE,30.47623,-91.08367,"(30.47623, -91.08367)"
C-116,CITY,NORTH BLVD,5TH ST / ST CHARLES ST,30.44712,-91.18544,"(30.44712, -91.18544)"
C-117,CITY,NORTH BLVD,19TH ST,30.44772,-91.16922,"(30.44772, -91.16922)"
C-118,CITY,NORTH BLVD,EUGENE ST,30.44804,-91.16051,"(30.44804, -91.16051)"
C-120,CITY,NORTH BLVD,PEACHTREE BLVD,30.44827,-91.15236,"(30.44827, -91.15236)"
C-122,CITY,NORTH ST,4TH ST,30.45251,-91.18718,"(30.45251, -91.18718)"
C-123,CITY,NORTH ST,5TH ST,30.45255,-91.18592,"(30.45255, -91.18592)"
C-124,CITY,NORTH ST,6TH ST,30.45259,-91.1848,"(30.45259, -91.1848)"
C-125,CITY,NORTH ST,19TH ST,30.45302,-91.16944,"(30.45302, -91.16944)"
C-127,CITY,NORTH ST,39TH ST,30.45357,-91.15102,"(30.45357, -91.15102)"
C-128,CITY,NORTH ST,EUGENE ST,30.45329,-91.16104,"(30.45329, -91.16104)"
C-129,CITY,NORTH ST,LAFAYETTE ST,30.45246,-91.18955,"(30.45246, -91.18955)"
C-130,CITY,NORTH ST,3RD ST,30.45251,-91.18837,"(30.45251, -91.18837)"
C-131,CITY,NORTH ST,TURNER PLAZA,30.45382,-91.14274,"(30.45382, -91.14274)"
C-133,CITY,PERKINS RD,PARK BLVD,30.43798,-91.16885,"(30.43798, -91.16885)"
C-134,CITY,PARK BLVD,TERRACE ST,30.43662,-91.16881,"(30.43662, -91.16881)"
C-135,CITY,PERKINS RD,BROUSSARD ST  / MAGNOLIA AVE,30.43571,-91.16745,"(30.43571, -91.16745)"
C-137,CITY,PRESCOTT RD,E BROOKSTOWN RD,30.48844,-91.12821,"(30.48844, -91.12821)"
C-138,CITY,SHARP RD,MOLLYLEA DR,30.45259,-91.07151,"(30.45259, -91.07151)"
C-139,CITY,SHERWOOD FOREST BLVD,N HARRELL'S FERRY RD,30.43277,-91.05738,"(30.43277, -91.05738)"
C-140,CITY,SHERWOOD FOREST BLVD,COURSEY BLVD,30.41113,-91.05151,"(30.41113, -91.05151)"
C-141,CITY,SHERWOOD FOREST BLVD,LAKE SHERWOOD AVE N,30.41744,-91.0516,"(30.41744, -91.0516)"
C-142,CITY,SHERWOOD FOREST BLVD,NEWCASTLE AVE,30.42027,-91.05156,"(30.42027, -91.05156)"
C-145,CITY,SOUTH BLVD,EDDIE ROBINSON DR,30.43969,-91.17553,"(30.43969, -91.17553)"
C-146,CITY,STANFORD AVE,HYACINTH ST / E LAKESHORE DR,30.4145,-91.15769,"(30.4145, -91.15769)"
C-147,CITY,STANFORD AVE,MORNING GLORY AVE,30.41686,-91.1555,"(30.41686, -91.1555)"
C-148,CITY,STARING LN,HYACINTH ST,30.38553,-91.11259,"(30.38553, -91.11259)"
C-150,CITY,THOMAS DELPIT DR,BUCHANAN ST,30.42503,-91.17674,"(30.42503, -91.17674)"
C-151,CITY,THOMAS DELPIT DR,LOUISE ST,30.43421,-91.1788,"(30.43421, -91.1788)"
C-153,CITY,THOMAS DELPIT DR,POLK ST,30.42699,-91.1768,"(30.42699, -91.1768)"
C-154,CITY,THOMAS DELPIT DR,TERRACE ST,30.43631,-91.18011,"(30.43631, -91.18011)"
C-155,CITY,THOMAS DELPIT DR,WASHINGTON ST,30.4311,-91.17696,"(30.4311, -91.17696)"
C-156,CITY,WINBOURNE AVE,38TH ST,30.47846,-91.15286,"(30.47846, -91.15286)"
C-157,CITY,WINBOURNE AVE,DOUGHERTY DR,30.47909,-91.13558,"(30.47909, -91.13558)"
C-159,CITY,WINBOURNE AVE,VICTORIA DR,30.47974,-91.11759,"(30.47974, -91.11759)"
C-160,CITY,TOM DR,WOODDALE BLVD,30.4632,-91.11178,"(30.4632, -91.11178)"
C-161,CITY,CHOCTAW DR,AIRWAY DR,30.47131,-91.09887,"(30.47131, -91.09887)"
C-162,CITY,CHOCTAW DR,FLANNERY RD,30.4721,-91.03409,"(30.4721, -91.03409)"
C-164,CITY,SULLIVAN RD,LOVETT RD,30.52154,-91.02784,"(30.52154, -91.02784)"
C-169,CITY,O'NEAL LN,GEORGE O'NEAL RD,30.40749,-91.00861,"(30.40749, -91.00861)"
C-175,CITY,HIGHLAND RD,KENILWORTH PKWY,30.37784,-91.13808,"(30.37784, -91.13808)"
C-176,CITY,SHERWOOD FOREST BLVD,CATALINA AVE,30.48402,-91.05858,"(30.48402, -91.05858)"
C-177,CITY,COURSEY BLVD,HICKORY RIDGE BLVD,30.40812,-91.02596,"(30.40812, -91.02596)"
C-179,CITY,E AIRPORT AVE,INDEPENDENCE BLVD,30.44558,-91.10218,"(30.44558, -91.10218)"
C-182,CITY,BLUEBONNET BLVD,GAIL DR,30.40047,-91.08414,"(30.40047, -91.08414)"
C-183,CITY,BLUEBONNET BLVD,BLUE CROSS PKWY,30.39764,-91.08441,"(30.39764, -91.08441)"
C-184,CITY,INDUSTRIPLEX BLVD,EXCHEQUER DR,30.38427,-91.04799,"(30.38427, -91.04799)"
C-186,CITY,CORPORATE BLVD,ENERGY DR,30.42494,-91.13203,"(30.42494, -91.13203)"
C-187,CITY,JONES CREEK RD,TIGER BEND RD,30.39143,-91.01855,"(30.39143, -91.01855)"
C-189,CITY,CORTANA PL,AIRWAY DR,30.46059,-91.09522,"(30.46059, -91.09522)"
C-037,CITY,FLORLINE BLVD,CORTANA PL,30.45817,-91.09687,"(30.45817, -91.09687)"
C-038,CITY,COURSEY BLVD,CEDARCREST AVE,30.41752,-91.06761,"(30.41752, -91.06761)"
C-039,CITY,COURSEY BLVD,JONES CREEK RD,30.40853,-91.01605,"(30.40853, -91.01605)"
C-040,CITY,COURSEY BLVD,STUMBERG LN,30.41013,-91.03601,"(30.41013, -91.03601)"
C-041,CITY,DALRYMPLE DR,MAY ST,30.42259,-91.16915,"(30.42259, -91.16915)"
C-042,CITY,DALRYMPLE DR,STATE ST,30.41944,-91.17142,"(30.41944, -91.17142)"
C-043,CITY,MYRTLE ST,EDDIE ROBINSON DR,30.43838,-91.17549,"(30.43838, -91.17549)"
C-045,CITY,EUGENE ST,BROUSSARD ST,30.43589,-91.15961,"(30.43589, -91.15961)"
C-047,CITY,EVANGELINE ST,MC CLELLAND DR,30.49331,-91.13503,"(30.49331, -91.13503)"
C-048,CITY,FAIRFIELDS ST,38TH ST,30.46716,-91.15234,"(30.46716, -91.15234)"
C-050,CITY,GOODWOOD BLVD,FLANNERY RD,30.44858,-91.03497,"(30.44858, -91.03497)"
C-051,CITY,FOSTER DR,CHOCTAW DR,30.47058,-91.14004,"(30.47058, -91.14004)"
C-052,CITY,FOSTER DR,EVANGELINE ST,30.49318,-91.14061,"(30.49318, -91.14061)"
C-053,CITY,FOSTER DR,FAIRFIELDS AVE,30.46775,-91.13978,"(30.46775, -91.13978)"
C-054,CITY,FOSTER DR,HOLLYWOOD ST,30.49966,-91.14107,"(30.49966, -91.14107)"
C-055,CITY,FOSTER DR,PRESCOTT RD,30.48757,-91.14039,"(30.48757, -91.14039)"
C-056,CITY,FOSTER DR,WINBOURNE AVE,30.47888,-91.14062,"(30.47888, -91.14062)"
C-057,CITY,FOSTER DR,CLAYCUT RD,30.44136,-91.13824,"(30.44136, -91.13824)"
C-058,CITY,FUQUA ST,19TH ST,30.45727,-91.16966,"(30.45727, -91.16966)"
C-059,CITY,SCENIC HWY,FUQUA ST,30.45734,-91.16743,"(30.45734, -91.16743)"
C-060,CITY,GLEN OAKS AVE,SILVERLEAF AVE,30.51033,-91.12528,"(30.51033, -91.12528)"
C-061,CITY,GOODWOOD BLVD,E AIRPORT AVE,30.44248,-91.10202,"(30.44248, -91.10202)"
C-062,CITY,GOODWOOD BLVD,CHEVELLE AVE,30.44259,-91.09851,"(30.44259, -91.09851)"
C-063,CITY,GOODWOOD BLVD,LOBDELL AVE,30.44216,-91.11073,"(30.44216, -91.11073)"
C-064,CITY,GOODWOOD BLVD,SHARP RD,30.4449,-91.06807,"(30.4449, -91.06807)"
C-065,CITY,GOODWOOD BLVD,TARA BLVD,30.44267,-91.09598,"(30.44267, -91.09598)"
C-066,CITY,GOODWOOD BLVD,SHERWOOD FOREST BLVD,30.44851,-91.05811,"(30.44851, -91.05811)"
C-067,CITY,GOVERNMENT ST,ARDENWOOD AVE,30.44481,-91.12721,"(30.44481, -91.12721)"
C-068,CITY,GOVERNMENT ST,LOBDELL AVE / INDEPENDENCE BLVD,30.44524,-91.11164,"(30.44524, -91.11164)"
C-069,CITY,GREENWELL ST,SILVERLEAF AVE,30.50243,-91.1253,"(30.50243, -91.1253)"
C-001,CITY,ACADIAN THWY E,CHOCTAW DR,30.47013,-91.15544,"(30.47013, -91.15544)"
C-002,CITY,ACADIAN THWY E,FAIRFIELDS AVE,30.46706,-91.15534,"(30.46706, -91.15534)"
C-003,CITY,ACADIAN THWY,GUS YOUNG AVE,30.46252,-91.15534,"(30.46252, -91.15534)"
C-004,CITY,ACADIAN THWY E,WASHINGTON AVE,30.46512,-91.15527,"(30.46512, -91.15527)"
C-005,CITY,ACADIAN THWY W,CHOCTAW DR,30.47006,-91.15638,"(30.47006, -91.15638)"
C-006,CITY,ACADIAN THWY W,FAIRFIELDS AVE,30.46703,-91.15633,"(30.46703, -91.15633)"
C-008,CITY,ACADIAN THWY,MOHICAN ST,30.48451,-91.15671,"(30.48451, -91.15671)"
C-009,CITY,ACADIAN THWY,NORTH ST,30.45347,-91.15481,"(30.45347, -91.15481)"
C-010,CITY,ACADIAN THWY,WINBOURNE AVE,30.47836,-91.1565,"(30.47836, -91.1565)"
C-011,CITY,ACADIAN THWY,NORTH BLVD,30.4482,-91.15471,"(30.4482, -91.15471)"
C-012,CITY,ARDENWOOD DR,HARRY DR,30.4568,-91.12757,"(30.4568, -91.12757)"
C-013,CITY,ARDENWOOD DR,RENOIR AVE,30.4609,-91.12778,"(30.4609, -91.12778)"
C-014,CITY,ARDENWOOD DR,WINBOURNE AVE,30.4792,-91.13031,"(30.4792, -91.13031)"
C-016,CITY,CHOCTAW DR,38TH ST,30.47027,-91.15244,"(30.47027, -91.15244)"
C-017,CITY,CHOCTAW DR,ARDENWOOD AVE,30.47088,-91.13021,"(30.47088, -91.13021)"
C-018,CITY,CHOCTAW DR,LOBDELL BLVD,30.47106,-91.12268,"(30.47106, -91.12268)"
C-019,CITY,CHOCTAW DR,MONTERREY BLVD,30.4717,-91.08474,"(30.4717, -91.08474)"
C-020,CITY,CHOCTAW DR,SHERWOOD FOREST BLVD,30.47242,-91.05804,"(30.47242, -91.05804)"
C-021,CITY,CHOCTAW DR,SORREL AVE,30.46942,-91.18097,"(30.46942, -91.18097)"
C-022,CITY,CHOCTAW DR,WOODDALE BLVD,30.4709,-91.11599,"(30.4709, -91.11599)"
C-023,CITY,COLLEGE DR,BENNINGTON AVE / RABEY ST,30.42099,-91.14055,"(30.42099, -91.14055)"
C-025,CITY,COLLEGE DR,CONCORD AVE,30.4185,-91.14184,"(30.4185, -91.14184)"
C-026,CITY,COLLEGE DR,CORPORATE BLVD,30.42584,-91.13775,"(30.42584, -91.13775)"
C-027,CITY,COLLEGE DR,FOSTER DR,30.43652,-91.13192,"(30.43652, -91.13192)"
C-028,CITY,COLLEGE DR,WEBB PARK,30.43557,-91.13335,"(30.43557, -91.13335)"
C-029,CITY,COLLEGE DR,WOODSIDE DR,30.43094,-91.13521,"(30.43094, -91.13521)"
C-030,CITY,CONVENTION ST,4TH ST,30.44825,-91.18699,"(30.44825, -91.18699)"
C-031,CITY,CONVENTION ST,5TH ST,30.44827,-91.18577,"(30.44827, -91.18577)"
C-032,CITY,CONVENTION ST,6TH ST,30.44831,-91.18468,"(30.44831, -91.18468)"
C-035,CITY,CONVENTION ST,LAFAYETTE ST,30.4482,-91.1894,"(30.4482, -91.1894)"
C-036,CITY,CONVENTION ST,3RD ST,30.44823,-91.18824,"(30.44823, -91.18824)"
C-070,CITY,GUS YOUNG AVE,38TH ST,30.46262,-91.15217,"(30.46262, -91.15217)"
C-071,CITY,GUS YOUNG AVE,46TH ST,30.46211,-91.14363,"(30.46211, -91.14363)"
C-073,CITY,HIGHLAND RD,S CAMPUS DR,30.41152,-91.17616,"(30.41152, -91.17616)"
C-074,CITY,HIGHLAND RD,CHIMES ST,30.41721,-91.17642,"(30.41721, -91.17642)"
C-075,CITY,HIGHLAND RD,DALRYMPLE DR,30.41579,-91.17636,"(30.41579, -91.17636)"
C-076,CITY,HIGHLAND RD,ASTER ST,30.41985,-91.17731,"(30.41985, -91.17731)"
C-077,CITY,HIGHLAND RD,LEE DR,30.39382,-91.15972,"(30.39382, -91.15972)"
C-078,CITY,HIGHLAND RD,LSU AVE,30.40224,-91.1705,"(30.40224, -91.1705)"
C-079,CITY,HIGHLAND RD,MC KINLEY ST,30.42378,-91.17911,"(30.42378, -91.17911)"
C-080,CITY,HIGHLAND RD,PARKER BLVD,30.40457,-91.17355,"(30.40457, -91.17355)"
C-081,CITY,HIGHLAND RD,RAPHAEL SEMMES RD,30.41333,-91.17624,"(30.41333, -91.17624)"
C-082,CITY,HIGHLAND RD,ROOSEVELT ST,30.42179,-91.17818,"(30.42179, -91.17818)"
C-083,CITY,HIGHLAND RD,SOUTH BLVD / SAINT FERDINAND ST,30.44337,-91.18652,"(30.44337, -91.18652)"
C-084,CITY,HIGHLAND RD,S STADIUM RD,30.40901,-91.17604,"(30.40901, -91.17604)"
C-085,CITY,HIGHLAND RD,STARING LN,30.36897,-91.12293,"(30.36897, -91.12293)"
C-086,CITY,HIGHLAND RD,STATE ST,30.41819,-91.17659,"(30.41819, -91.17659)"
C-088,CITY,HIGHLAND RD,TERRACE ST,30.43619,-91.18521,"(30.43619, -91.18521)"
C-089,CITY,HIGHLAND RD,WASHINGTON ST,30.43094,-91.18267,"(30.43094, -91.18267)"
C-090,CITY,HOLLYWOOD ST,MC CLELLAND DR,30.49985,-91.13524,"(30.49985, -91.13524)"
C-091,CITY,JONES CREEK RD,SHENANDOAH AVE,30.39718,-91.01762,"(30.39718, -91.01762)"
C-092,CITY,JOOR RD,CORE LN,30.57616,-91.0476,"(30.57616, -91.0476)"
C-098,CITY,LAUREL ST,LAFAYETTE ST,30.45038,-91.18946,"(30.45038, -91.18946)"
C-100,CITY,LEE DR,HYACINTH ST,30.40971,-91.14756,"(30.40971, -91.14756)"
S-142,STATE,FLORIDA ST,7TH ST,30.44945,-91.18341,"(30.44945, -91.18341)"
S-143,STATE,LAUREL ST,10TH ST,30.4506,-91.17981,"(30.4506, -91.17981)"
S-144,STATE,LAUREL ST,9TH ST,30.45059,-91.18093,"(30.45059, -91.18093)"
S-146,STATE,LA 19,ROSENWALD RD,30.53144,-91.17914,"(30.53144, -91.17914)"
S-148,STATE,PLANK RD,HARDING BLVD,30.52173,-91.14531,"(30.52173, -91.14531)"
S-150,STATE,CONVENTION ST,10TH ST,30.4485,-91.17981,"(30.4485, -91.17981)"
